gender,state,party,term,year,name,constituency
Male,Madhya Pradesh,Congress,1,1952,Shri Sheodass Daga,Mahasamund
Male,Madhya Pradesh,Congress,1,1952,Shri Amar Singh Damar,Jhabua-ST
Male,Maharashtra,Congress,1,1952,Shri Anant Savalaram Nandkar,Thana
Male,Madras,Congress,1,1952,Shri Govindaswami Naidu Rangaswami Naidu Damodaran,Pollachi
Male,Madras,Kisan Mazdoor Praja Party,1,1952,Shri Nettur P. Damodaran,Tellicherry
Male,Orissa,Socialist,1,1952,Shri Sarangadhar Das,Dhenkanal West Cuttack-SC
Male,West Bengal,Congress,1,1952,Shri Ramananda Das,Barrackpore
Male,West Bengal,Congress,1,1952,Shri Basanta Kumar Das,Contai
Male,Madhya Pradesh,Congress,1,1952,Shri Vaijanath Mahodaya,Nimar
Male,Madhya Pradesh,Congress,1,1952,Shri Bhagu Nandu Malvia,Shajapur-Rajagarh
Male,Madhya Pradesh,Congress,1,1952,Shri Radha Charan Sharma,Morena-Bhind-SC
Male,Madhya Pradesh,Congress,1,1952,Shri Suraj prasad alias Surya Prasad,Morena-Bhind-SC
Male,Madhya Pradesh,Congress,1,1952,Shri Radhelal Beharilal Vyas,Ujjain
Male,Assam,Congress,1,1952,Shri Beli Ram Das,Barpeta
Male,Orissa,Congress,1,1952,Shri Bhubananda Das,Dhenkanal West Cuttack-SC
Male,Orissa,Communist Party,1,1952,Shri Bijoy Chandra Das,Ganjam South
Male,West Bengal,Congress,1,1952,Shri Kamal Krishna Das,Birbhum-SC
Male,West Bengal,Congress,1,1952,Dr. Mono Mohan Das,Burdwan
Male,Bihar,Congress,1,1952,Shri Nayan Tara Das,Monghyr Sadar cum Jamui-SC
Male,Bihar,Congress,1,1952,Shri Ram Dhani Das,Gaya-East-SC
Male,Orissa,Ganatantra Parishad,1,1952,H.H.Maharaja Rajendra Narayan Singh Deo,Kalahandi Bolangir-ST
Male,Bihar,Congress,1,1952,Shri Shree Narayan Das,Darbhanga Central
Male,Madhya Pradesh,Congress,1,1952,Shri Guru Gosain Agam Dasji,Bilaspur-Durg-Raipur
Male,Maharashtra,Congress,1,1952,Shri Balwantrao Nageshrao Datar,Belgaum North
Male,Tripura,Communist Party of India,1,1952,Shri Dasaratha Deb,Tripura East-ST
Male,Assam,Congress,1,1952,Shri Suresh Chandra Deb,Cachar-Lusai Hills-SC
Male,Bihar,Jharkhand Party,1,1952,Shri Kanhu Ram Deogam,Chaibassa-ST
Male,Maharashtra,Congress,1,1952,Shri Kanayalal Nanabhai Desai,Surat-ST
Male,Gujarat,Congress,1,1952,Shri Khandubhai Kasanji Desai,Halar
Male,Maharashtra,Congress,1,1952,Dr. Chintaman Dwarkanath Deshmukh,Kolaba
Male,Madras,Independent,1,1952,Shri S.V.Laxmi Narasimham,Guntur
Male,Madhya Pradesh,Congress,1,1952,Shri Krishnarao Gulabrao Deshmukh,Amravati West
Male,Maharashtra,Congress,1,1952,Shri Govind Hari Deshpande,Nasik Central
Male,Madhya Pradesh,Hindu Mahasabha,1,1952,Shri Vishnu Ghanshyam Deshpande,Guna
Male,Gujarat,Congress,1,1952,Shri Gulabshankar Amritlal Dholakia,Kutch East
Male,Uttar Pradesh,Congress,1,1952,Shri Raghunath Vinayak Dhulekar,Jhansi Distt. (South)
Male,Uttar Pradesh,Congress,1,1952,Shri Sohan Lal Dhusiya,Basti Distt. Central (East) Cum Gorakhpur Distt.(West)
Male,Uttar Pradesh,Congress,1,1952,Chaudhary Digambar Singh,Etah Dist.(W) cum Mainpuri Dist.(W) cum Mathura Dist. (East)
Male,Hyderabad,Congress,1,1952,Shri Raghevendra Srinivas Rao Diwan,Osmanabad
Male,Uttar Pradesh,Congress,1,1952,Shri Mulchand Dube,Farrukhabad Distt. North
Male,Uttar Pradesh,Congress,1,1952,Shri Udai Shanker Dube,Basti Distt. North
Male,Maharashtra,Congress,1,1952,Shri Rajaram Girdharilal Dubey,Bijapur North
Male,West Bengal,Congress,1,1952,Shri Asim Krishna Dutt,Calcutta South West
Male,Orissa,Nikhil Utkal Adibasi Congress,1,1952,Shri Toyaka Sanganna,Rayagada-Phulbani-ST
Male,Tripura,Communist Party of India,1,1952,Shri Birendra Chandra Dutta,Tripura West
Male,West Bengal,Congress,1,1952,Shri Santosh Kumar Dutta,Howrah
Male,Madras,Congress,1,1952,Shri C.R. Narasimhan,Krishnagiri
Male,Uttar Pradesh,Congress,1,1952,Shri Dashrath Prasad Dwivedi,Gorakhpur Distt. (South)
Male,Uttar Pradesh,Congress,1,1952,Shri Mannoolal Dwivedi,Hamirpur
Male,Orissa,Congress,1,1952,Shri Lokenath Mishra,Puri
Male,Orissa,Congress,1,1952,Pandit Lingaraj Misra,Khurda
Male,Orissa,All India Ganatantra Parishad,1,1952,Dr. Natabar Pandey,Sambalpur
Male,Orissa,Independent,1,1952,Shri Uma Charan Patnaik,Ghumsur
Male,Orissa,Ganatantra Parishad,1,1952,Shri Brij Mohan Pradhan,Bargarh
Male,Orissa,Congress,1,1952,Shri Birakisor Ray,Cuttack
Male,Orissa,Congress,1,1952,Shri Bhagabat Sahu,Balasore
Male,Hyderabad,Congress,1,1952,Dr. S.A. Ebenezer,Vikarabad
Male,Madras,Congress,1,1952,Shri L. Elayaperumal,Cuddalore
Male,Jammu and Kashmir,Nominated,1,1952,Pandit Sheo Narayan Fotedar,NA
Male,Maharashtra,Congress,1,1952,Shri Narhar Vishnu Gadgil,Poona Central
Male,Maharashtra,Peasants And Workers` Party of India,1,1952,Shri Shankarrao Shantaram More,Sholapur-SC
Male,Uttar Pradesh,Congress,1,1952,Shri Ganapati Ram,Jaunpur Distt. (East)-SC
Male,Maharashtra,Congress,1,1952,Shri Maneklal Maganlal Gandhi,Panch Mahals cum Baroda East-ST
Male,Bihar,Congress,1,1952,Shri Maneklal Maganlal Gandhi,Purnea cum Santhal Paragnas-ST
Male,Maharashtra,Congress,1,1952,Shri Vithal Balkrishna Gandhi,Bombay City North
Male,Uttar Pradesh,Congress,1,1952,Shri Nardeo Snatak,Aligarh Distt.-SC
Male,West Bengal,Congress,1,1952,Shri Purnendu Sekhar Naskar,Diamond Harbour
Female,Uttar Pradesh,Congress,1,1952,Smt. Ganga Devi,Lucknow Dist. cum Bara Banki Distt.-SC
Male,Punjab,Congress,1,1952,Shri Ram Pratap Garg,Patiala
Male,Madhya Pradesh,Congress,1,1952,Shri Chintaman Dhivruji Gautam,Balaghat
Male,West Bengal,Congress,1,1952,Shri Surendra Mohan Ghose,Malda
Male,Bihar,Congress,1,1952,Shri Anup Lal Mehta,Bhagalpur cum Purnea-SC
Male,West Bengal,Congress,1,1952,Shri Atulya Ghosh,Burdwan
Male,Madras,Congress,1,1952,Shri S.S. Natarajan,Srivilliputhur
Male,Madhya Pradesh,Praja Socialist Party (PSP),1,1952,Shri Ashok Ranjitram Mehta,Bhandara
Male,Maharashtra,Congress,1,1952,Shri Jayantrao Ganpat Natawadkar,West Khandesh-ST
Male,Rajasthan,Congress,1,1952,Shri Balwant Sinha Mehta,Udaipur
Male,Vindhya Pradesh*,Congress,1,1952,Sardar Raj Bhanu Singh Tewari,Rewa
Male,Vindhya Pradesh*,Congress,1,1952,Shri Ram Sahai Tiwary,Chhatarpur-Datia-Tikamgarh-SC
Male,Rajasthan,Independent,1,1952,Shri Jaswantraj Mehta,Jodhpur
Male,Madras,Congress,1,1952,Shri T.A.M. Subramania Chettiar,Dharmapuri
Male,Madhya Pradesh,Congress,1,1952,Dr. Punjabrao Shamrao Deshmukh,Amravati East
Male,Maharashtra,Congress,1,1952,Shri Yeshwantrao Martandrao Mukne,Thana
Male,Maharashtra,Congress,1,1952,Shri Gulzarilal Nanda,Sabarkantha
Male,Maharashtra,Congress,1,1952,Shri Hari Vinayak Pataskar,Jalgaon
Male,Maharashtra,Congress,1,1952,Shri Bahadurbhai Kunthabhai Patel,Surat-ST
Female,Maharashtra,Congress,1,1952,Kumari Manibehn Vallabhbhai Patel,Kaira South
Male,Maharashtra,Congress,1,1952,Shri Pandharinath Ramachandra Kanavade Patil,Ahmednagar North
Male,Maharashtra,Congress,1,1952,Shri Sadashiv Kanoji Patil,Bombay City South
Male,Maharashtra,Congress,1,1952,Shri Shankargauda Veerangauda Patil,Belgaum South
Male,Maharashtra,Congress,1,1952,Shri Vyankatrao Pirajirao Pawar,South Satara
Female,Maharashtra,Congress,1,1952,Smt. Jayashri Naishadh Raiji,Bombay Suburban
Male,Maharashtra,Scheduled Castes Federation,1,1952,Shri Pandurang Nathuji Rajabhoj,Sholapur-SC
Male,Maharashtra,Congress,1,1952,Shri Shivram Rango Rane,Bhusaval
Male,Maharashtra,Congress,1,1952,Shri Govind Dharmaji Vartak,Thana
Male,Madras,Congress,1,1952,Shri P. Natesan,Tiruvallur
Male,Uttar Pradesh,Congress,1,1952,Shri Hoti Lal Agarwal,Jalaun Distt. cum Etawah Distt.(West) cum Jhansi Distt .(North)
Male,Madhya Pradesh,Congress,1,1952,Shri Shriman Narayan Dharam Narayan Agarwal,Wardha
Male,Uttar Pradesh,Congress,1,1952,Shri Mukund Lal Agrawal,Pilibhit Distt. cum Bareilly Distt. (East)
Male,Hyderabad,Congress,1,1952,Shri Ahmed Mohiuddin,Hyderabad City
Male,Punjab,Congress,1,1952,Sardar Teja Singh Akarpuri,Gurdaspur
Male,Madras,Congress,1,1952,Shri O.V. Alagesan Mudaliar,Chengleput
Male,Assam,Socialist,1,1952,Shri Amjad Ali,Goalpara-Garo Hills-ST
Female,Himachal Pradesh,Congress,1,1952,Rajkumari Amrit Kaur,Mandi - Mahasu-SC
Male,Hyderabad,Congress,1,1952,Dr. Shaukatullah Shah Ansari,Bidar
Male,Hyderabad,Congress,1,1952,Dr. Suresh Chandra Shiv Prasad Arya,Aurangabad
Male,Uttar Pradesh,Congress,1,1952,Shri Sita Ram Asthana,Azamgarh Distt West-SC
Male,Madras,Congress,1,1952,Shri Madabhusi Ananthasayanam Ayyangar,Tirupati
Male,Uttar Pradesh,Congress,1,1952,Maulana Abul Kalam Azad,Rampur Dist cum Bareilly dist(west)
Male,Madhya Pradesh,Congress,1,1952,Shri Maganlal Radhakrishnan Bagdi,Mahasamund
Male,Punjab,Akali,1,1952,Shri Bahadur Singh,Ferozepur- Ludhiana-SC
Male,Madras,Congress,1,1952,Shri S. Balasubramaniam,Madurai
Male,Punjab,Congress,1,1952,Sardar Baldev Singh,Nawan Shahr
Male,Madras,Congress,1,1952,Shri S.C. Balkrishnan,Erode
Male,Uttar Pradesh,Congress,1,1952,Shri Kanhaiya Lal Balmiki,Bulandshahar Distt.-SC
Male,West Bengal,Jan Sangh,1,1952,Shri Durga Charan Banerjee,Midnapore Jhargram-ST
Male,Punjab,Congress,1,1952,Shri Ghamandi Lal Bansal,Jhajjar
Male,Rajasthan,Congress,1,1952,Shri Bansilal,Jaipur
Male,West Bengal,Congress,1,1952,Shri Upendranath Barman,North Bengal
Male,Rajasthan,Congress,1,1952,Shri Pannalal Barupal,Ganganagar-SC
Male,West Bengal,Congress,1,1952,Shri Amiya Kanta Basu,North Bengal
Male,West Bengal,Communist Party,1,1952,Shri Kamal Kumar Basu,Diamond Harbour
Male,Bihar,Congress,1,1952,Shri Bali Ram Bhagat,Patna cum Shahabad
Male,Jammu and Kashmir,All Jammu and Kashmir National Conference,1,1952,Kh. Ghulam Qader Bhat,NA
Male,Uttar Pradesh,Congress,1,1952,Shri Bhakt Darshan,Garhwal Distt. (East) cum Moradabad Distt. (North-East)
Male,Rajasthan,Congress,1,1952,Shri Daulat Mall Bhandari,Jaipur
Male,Madhya Pradesh,Congress,1,1952,Shri Goswamiraja Sahdeo Bharati,Yeotmal
Male,Punjab,Congress,1,1952,Pandit Thakur Das Bhargava,Gurgaon
Male,Madhya Pradesh,Congress,1,1952,Shri Laxmanrao Shrawanji Bhatkar,Buldana-Akola
Male,Rajasthan,Congress,1,1952,Shri Bheekhabhai,Banswara-Dungarpur-ST
Male,Maharashtra,Congress,1,1952,Shri Ganesh Sadashiv Altekar,North Satara
Male,Maharashtra,Congress,1,1952,Shri Joachim Alva,Kanara
Male,Maharashtra,Independent,1,1952,Dr. Indubhai Bhailal Bhai Amin,Baroda West
Male,Maharashtra,Praja Socialist Party (PSP),1,1952,Shri Choithram Partabrai Gidwani,Thana
Male,Maharashtra,Congress,1,1952,Shri Shaligram Ramchandra Bhartiya,West Khandesh-ST
Male,Maharashtra,Congress,1,1952,Shri Chandrashanker Manishanker Bhatt,Broach
Male,Maharashtra,Congress,1,1952,Shri Jagannathrao Krishnarao Bhonsle,Ratnagiri North
Male,Chhattisgarh,Independent,1,1952,Shri Anand Chand,Bilaspur
Male,Rajasthan,Congress,1,1952,Pandit Mukut Bihari Lal Bhargava,Ajmer South
Male,Travancore-Cochin*,Congress,1,1952,Shri K.T. Achuthan,Cangannur
Male,Madhya Pradesh,Congress,1,1952,Pandit Chatur Narain Malviya,Raisen
Male,Madras,Congress,1,1952,Shri Varahagiri Venkata Giri,Pathapatnam
Male,NA,Nominated,1,1952,Shri Frank Anthony,Nominated Anglo-Indian
Male,NA,Nominated,1,1952,Shri A.E.T. Barrow,Nominated Anglo-Indian
Male,Karnataka,Congress,1,1952,Shri C.R. Basappa,Tumkur
Male,Uttar Pradesh,Congress,1,1952,Shri Keshav Dev Malaviya,Gonda Distt. (East) cum Basti Distt. (West)
Male,Madras,Congress,1,1952,Shri U. Srinivasa Malliah,South kanara North
Male,Madras,Independent,1,1952,Shri Gam Malludora,Vishakapatnam
Male,West Bengal,Congress,1,1952,Dr. Pashupati Mandal,Bankura
Male,Jammu and Kashmir,Nominated,1,1952,Mohammad Saeed Masuodi Maulana,NA
Male,Uttar Pradesh,Congress,1,1952,Shri Masuriya Din,Allahabad District (East) cum Jaunpur Distt.(West)-SC
Male,Madras,Independent,1,1952,Dr. Edward Paul Mathuram,Tiruchirapalli
Female,Madhya Pradesh,Congress,1,1952,Smt. Minimata Agam Dass Guru,Bilaspur-Durg-Raipur
Male,Bihar,Congress,1,1952,Shri Lalit Narayan Mishra,Darbhanga cum Bhagalpur
Male,Bihar,Congress,1,1952,Shri Mathura Prasad Mishra,Monghyr North-West
Male,Bihar,Congress,1,1952,Shri Shyam Nandan Mishra,Darbhanga North
Male,Bihar,Socialist,1,1952,Pandit Suresh Chandra Mishra,Monghyr North-West
Male,Madhya Pradesh,Congress,1,1952,Shri Bhupendra Nath Misra,Bilaspur-Durg-Raipur
Male,Uttar Pradesh,Congress,1,1952,Shri Raghubar Dayal Misra,Bulandshahar
Male,Uttar Pradesh,Congress,1,1952,Shri Sarju Prasad Misra,Deoria Distt. South
Male,Bihar,Socialist,1,1952,Shri Vijneshwar Missir,Gaya-North
Male,Jammu and Kashmir,All Jammu and Kashmir National Conference,1,1952,Shri Sofi Mohd. Akber,NA
Male,West Bengal,Jan Sangh,1,1952,Dr. Shyama Prasad Mookerjee,Calcutta South East
Male,Rajasthan,Congress,1,1952,Shri Radheyshyam Ramkumar Morarka,Ganganagar-SC
Male,Madhya Pradesh,Independent,1,1952,Shri Muchaki Kosa,Bastar-ST
Male,Madras,Congress,1,1952,Shri C. Ramaswami Mudaliar,Kumbakonam
Male,Bihar,Congress,1,1952,Shri Muhammad Islamuddin,Purnea- North-East
Male,West Bengal,Communist Party,1,1952,Shri Hirendra Nath Mukerjee,Calcutta North East
Male,Uttar Pradesh,Independent,1,1952,Shri Murli Manohar,Ballia East
Male,Madras,Kisan Mazdoor Praja Party,1,1952,Shri Bayya Suryanarayana Murthy,Eluru
Male,Punjab,Congress,1,1952,Sardar Gurmukh Singh Musafir,Amritsar
Male,Bihar,Socialist,1,1952,Shri Kirai Mushar,Bhagalpur cum Purnea-SC
Male,Madras,Socialist,1,1952,Shri Nalla Reddi Naidu,Rajamundry
Male,Madras,Congress,1,1952,Shri R. Govindarajulu Naidu,Tiruvallur
Male,Delhi,Congress,1,1952,Shri C. Krishnan Nair,Outer Delhi-SC
Male,Madras,Communist Party,1,1952,Shri K. Ananda Nambiar,Mayuram-SC
Male,Assam,Congress,1,1952,Shri Chowkhamoon Gohain,Autonomous District-ST
Male,Punjab,Congress,1,1952,Shri Atma Singh Namdhari,Fazilka-Sirsa
Male,Madras,Independent,1,1952,Shri Mangalagiri Nanadas,Ongole
Male,Orissa,Congress,1,1952,Shri Harekrushna Mahtab,Cuttack
Male,Orissa,Congress,1,1952,Shri Ram Chandra Majhi,Mayurbhanj-ST
Male,Maharashtra,Congress,1,1952,Shri Ganesh Vasudeo Mavalankar,Ahmedabad-SC
Female,Maharashtra,Congress,1,1952,Smt. Sushila Ganesh Mavalankar,Ahmedabad-SC
Female,Maharashtra,Congress,1,1952,Smt. Indira Anant Maydeo,Poona South
Male,Madras,Communist Party,1,1952,Shri Ayillath Kuttieri Gopalan,Cannanore
Male,Maharashtra,Congress,1,1952,Shri Krishnaji Laxman More,Kolhapur-cum-Satara-SC
Male,Gujarat,Congress,1,1952,Shri Balvantray Gopalji Mehta,Gohilwad
Female,Travancore-Cochin*,Independent,1,1952,Kumari Annie Mascarene,Trivandrum
Male,Travancore-Cochin*,Congress,1,1952,Prof. C.P. Mathew,Kottayam
Male,Himachal Pradesh,Congress,1,1952,Shri Gopi Ram,Mandi - Mahasu-SC
Male,Uttar Pradesh,Congress,1,1952,Shri Paragi Lal,Sitapur District cum Kheri Distt. West-SC
Male,Hyderabad,Peoples' Democratic Front,1,1952,Shri Ramchander Govind Paranjpe,Bhir
Male,Bihar,Congress,1,1952,Shri Rajeshwara Patel,Muzaffarpur cum Darbhanga-SC
Male,Madhya Pradesh,Congress,1,1952,Pandit Sushil Kumar Pateriya,Jabalpur North
Male,Madras,Congress,1,1952,Shri P.T. Thanu Pillai,Tirunelveli
Male,Madras,Madras State Muslim League Party,1,1952,Shri B. Pocker,Malappuram
Male,Delhi,Congress,1,1952,Shri Naval Prabhakar,Outer Delhi-SC
Male,Uttar Pradesh,Congress,1,1952,Shri Hari Shankar Prasad,Gorakhpur Distt. (North)
Male,Delhi,Congress,1,1952,Shri Radha Raman,Delhi City
Male,Madras,Kisan Mazdoor Praja Party,1,1952,Shri K.S. Raghavachari,Penukonda
Male,Madras,Praja Socialist Party (PSP),1,1952,Shri Y. Gadilingana Goud,Kurnool
Male,Madras,Communist Party,1,1952,Shri Pishupati Venkata Raghavaiah,Ongole
Male,Uttar Pradesh,Congress,1,1952,Shri Raghubir Sahai,Etah Dist. (North-East) cum Budaun Dist. (East)
Male,Uttar Pradesh,Congress,1,1952,Shri Raghunath Singh,Banaras Distt.(Central)
Male,Madras,Congress,1,1952,Shri Kotha Raghuramaiah,Tenali
Male,Rajasthan,Congress,1,1952,Shri Raj Bahadur,Jaipur-Sawai Madhopur
Male,Punjab,Congress,1,1952,Shri Ram Dass,Hoshiarpur
Male,Uttar Pradesh,Congress,1,1952,Prof. Ram Saran,Moradabad Distt. (West)
Male,Uttar Pradesh,Congress,1,1952,Shri Ram Shankar Lal,Basti Distt. Central (East) Cum Gorakhpur Distt.(West)
Male,Madras,Commonweal Party,1,1952,Dr. Doraswami Pillai Ramachander,Vellore
Male,Madras,Forward Bloc (Marxist),1,1952,Shri M.D. Ramasami,Aruppukottai
Male,Madras,Independent,1,1952,Shri N. Ramaseshaiah,Parvathipuram
Male,Hyderabad,Congress,1,1952,Shri Puli Ramaswamy,Mahabubnagar
Male,Madras,Congress,1,1952,Shri S.V. Ramaswamy,Salem
Male,Madras,Congress,1,1952,Shri B. Shiva Rao,South Kanara South
Male,Madras,Communist Party,1,1952,Dr. Chelikanai Venkata Rama Rao,Kakinada
Male,Madras,Communist Party,1,1952,Shri Kadiyala Gopala Rao,Gudiwada
Male,Madras,Communist Party,1,1952,Shri Kanety Mohana Rao,Rajamundry
Male,Madras,Communist Party,1,1952,Shri Kondru Subba Rao,Eluru
Male,Madras,Congress,1,1952,Shri K. Periaswami Gounder,Erode
Male,Maharashtra,Congress,1,1952,Shri Thimmappa Rudrappa Neswi,Dharwar South
Male,Maharashtra,Congress,1,1952,Shri Shantilal Girdharlal Parikh,Mehsana-East
Male,Maharashtra,Congress,1,1952,Shri Rupaji Bhavji Parmar,Panch Mahals cum Baroda East-ST
Male,Gujarat,Congress,1,1952,Dr. Jayantilal Narbheram Parekh,Zalawad
Male,Gujarat,Congress,1,1952,Shri Rasiklal Umedchand Parikh,Zalawad
Male,Madras,Congress,1,1952,Shri K. Sakthivadivel Gounder,Periyakulam
Male,West Bengal,Congress,1,1952,Shri Arun Chandra Guha,Santipur
Male,Uttar Pradesh,Congress,1,1952,Shri Badshah Gupta,Mainpuri Distt. (East)
Male,Rajasthan,Ram Rajya Parishad,1,1952,Shri Hari Ram Nathany,Bhilwara
Male,Madhya Pradesh,Congress,1,1952,Shri Saidullah Khan Razmi,Sehore
Male,Punjab,Congress,1,1952,Shri Ram Krishan Gupta,Mohindergarh
Male,Travancore-Cochin*,United Front of Leftists,1,1952,Shri V. Parmeswaran Nayar,Chirayinkil
Male,Travancore-Cochin*,Travancore Tamil Nad Congress,1,1952,Shri A. Nesamony,Nagercoil
Male,Travancore-Cochin*,Communist Party,1,1952,Shri P.T. Punnoose,Alleppey
Male,Karnataka,Congress,1,1952,Shri S. Nijalingappa,Chitradurga
Male,Karnataka,Congress,1,1952,Shri N. Rachiah,Mysore
Male,Punjab,Independent,1,1952,Sardar Ranjit Singh,Sangrur
Male,Madras,Independent,1,1952,Shri Bezwada Ramachandra Reddi,Nellore
Male,Hyderabad,Socialist,1,1952,Shri C. Madhava Reddi,Adilabad
Male,Madras,Congress,1,1952,Shri Halabarvi Sitaram Reddi,Kurnool
Male,Madhya Pradesh,Congress,1,1952,Shri Babu Nath Singh,Surguja-ST
Male,West Bengal,Communist Party,1,1952,Shri Sadhan Ch. Gupta,Calcutta East
Male,Karnataka,Kisan Mazdoor Praja Party,1,1952,Shri M.S. Gurupadaswamy,Mysore
Male,Uttar Pradesh,Congress,1,1952,Chaudhary Badan Singh,Budaun Dist. (West)
Male,Gujarat,Congress,1,1952,Shri Narendra Paragji Nathwani,Sorath
Male,Rajasthan,Independent,1,1952,Shri Girraj Saran Singh,Bharatpur
Male,Hyderabad,Peoples' Democratic Front,1,1952,Shri Ravi Narayan Reddi,Nalgonda-SC
Male,Hyderabad,Peoples' Democratic Front,1,1952,Shri Badam Yella Reddy,Karimnagar-SC
Male,Hyderabad,Congress,1,1952,Shri K. Janardhan Reddy,Mahabubnagar
Male,Madras,Congress,1,1952,Shri T.N. Viswanatha Reddy,Chittoor
Male,Madras,Communist Party,1,1952,Shri Yeddula Eswara Reddy,Cuddapah
Male,Andaman and Nicobar Islands,Nominated,1,1952,Rt. Rev. John Richardson,NA
Male,Uttar Pradesh,Congress,1,1952,Shri Bishwanath Roy,Deoria
Male,West Bengal,Congress,1,1952,Shri Patiram Roy,Basirhat
Male,West Bengal,Congress,1,1952,Dr. Satyaban Roy,Uluberia
Male,Uttar Pradesh,Congress,1,1952,Shri Rup Narain,Mirzapur Dist. cum Banaras Dist. (West)-SC
Male,West Bengal,Union of Socialists and Progressive,1,1952,Shri Meghnad Saha,Calcutta North West
Male,Bihar,Congress,1,1952,Shri Syamnandan Sahaya,Muzaffarpur Central
Male,Bihar,Congress,1,1952,Shri Rameshwar Sahu,Muzaffarpur cum Darbhanga-SC
Male,Madhya Pradesh,Congress,1,1952,Sardar Amar Singh Saigal,Bilaspur-SC
Male,Madhya Pradesh,Congress,1,1952,Shri Tularam Chandrabhan Sakhare,Bhandara
Male,Uttar Pradesh,Congress,1,1952,Shri Mohanlal Saksena,Lucknow Distt. cum Bara Banki Distt.
